Sl.no,School Code,School Name
49,11020201401,KAMLING SS
50,11020215501,RESHI SS
51,11020202201,CHOTA SAMDONG SS
52,11020201301,KHANISERBONG SS
53,11020202901,PAKKIGOAN SS
1,11020602101,CHUMANG PS
2,11020601201,KONGRI PS
3,11020603101,NESSA ARITHANG PS
4,11020601101,TINZIRING PS
5,11020601001,LABING PS
6,11020603901,DHUPPIDARA PS
7,11020604001,LOWER MANGNAM PS
8,11020604301,MIDDLE POKHARI PS
9,11020603401,UPPER MANGNAM PS
10,11020603801,CHOJO PS
11,11020601601,LAMATHANG PS
12,11020603201,LETHANG PS
13,11020602401,SIMCHEN PS
14,11020603701,THINGLING - II PS
15,11020601301,BOOM MELLI PS
16,11020602301,SINGLITAM PS
17,11020602601,TATHANG PS
18,11020602501,TOPUNG PS
19,11020601701,NAMBU MANGTHANG PS
20,11020603301,NAMBU TARENG PS
21,11020602801,NERDANG PS
22,11020602701,PEWTHANG PS
23,11020602001,RANGIT PS
24,11020602901,THANGCHUNG PS
25,11020603001,MANGSABONG PS
26,11020603601,MANGTABONG PS
27,11020601901,TING TING GOAN PS
28,11020604401,TSONG PS
29,11020604101,L CHONGRANG JHS
30,11020602201,MIDDLE CHONGRANG JHS
31,11020601801,TAMATAM JHS
32,11020601401,UPPER GERETHANG JHS
33,11020600901,DARAPTHANG JHS
34,11020601501,TIMBRONG JHS
35,11020600301,KHECHUPERI SSS
36,11020600101,TASHIDING SSS
37,11020600401,YUKSAM SSS
38,11020600501,GANGYAP SS
39,11020600801,LABDANG SS
40,11020600201,GERETHANG SS
41,11020600601,KARJEE SS
42,11020600701,MELLI SS
