Sl.no,U-DISE School Code,School Name
186,11020302801,BOOM RINCHENPONG PS
187,11020303101,LOWER KARTHOK PS
188,11020303201,BUKSOM PS
189,11020303401,M. TAKUTHANG PS
190,11020400101,HEE-YANGTHANG SSS
191,11020400201,DENTAM SSS
192,11020400401,KHANDU SS
193,11020400501,UTTERAY SS
194,11020400601,BEGHA JHS
195,11020400603,MIDDLE BEGHA PS
196,11020400701,BONGTEN SS
197,11020400702,SRINAGI PS
198,11020400801,MUKRUNG SS
199,11020400901,SOPAKHA SS
200,11020401001,LIDUNG PS
201,11020401101,MILLING JHS
202,11020401201,GITANG JHS
203,11020401301,SANKHU PS
204,11020401401,SIMBOLEY JHS
205,11020401501,BULLUNG PS
206,11020401601,BHALUKHOP PS
207,11020401701,AGRI NAYA BUSTY JHS
208,11020401801,SAPONG PS
209,11020401901,JHAKRIDHUNGA PS
210,11020402001,RADHU JHS
211,11020402002,LOWER RADHU PS
212,11020402101,DENTAM TAR JHS
213,11020402201,CHANGEY PS
214,11020402301,KONABAR PS
215,11020402401,SEPI PS
216,11020402501,BURUL SINGTAM JHS
217,11020402601,SIMPHOK PS
218,11020402701,SOMBUSTY PS
219,11020402801,LOWER SHANKU PS
220,11020402901,L SAPONG PS
221,11020403301,HEE KENGBARI PS
222,11020403701,HEE SAPUNG PS
223,11020404001,HEE TAMABONG PS
224,11020500101,KRIPASALYAN SSS DARAMDIN
225,11020500201,SOMBARIA SSS
226,11020500204,LOWER TIKPUR PS
227,11020500301,OKHREY SS
228,11020500401,RIBDI SS
229,11020500501,TIKPUR SS
230,11020500601,RUMBUK JHS
231,11020500701,LUNGYAM JHS
232,11020500801,BEYONG PS
233,11020500901,SAPREYNAGI PS
234,11020501001,AMBOTEY PS
235,11020501101,MOONEWGOAN PS
236,11020501201,PEURAYTAR PS
237,11020501301,LOWER OKHREY PS
238,11020501401,TAREYBHIR PS
239,11020501501,SALANGDANG PS
240,11020501601,ANDEN PS
241,11020501701,SIKTAM PS
242,11020501801,BHARENG PS
243,11020501901,LOWER RUMBUK PS
244,11020502101,NASA PS
245,11020502201,RINGYANG PS
246,11020502301,LUNGCHOK SS
247,11020600101,TASHIDING SSS
248,11020600201,GERETHANG SS
249,11020600301,KHECHUPERI SSS
250,11020600401,YUKSAM SSS
251,11020600501,GANGYAP SS
252,11020600601,KARJEE SS
253,11020600701,MELLI SS
254,11020600801,LABDANG SS
255,11020600901,DARAPTHANG JHS
256,11020601001,LABING PS
257,11020601101,TINZIRING PS
258,11020601201,KONGRI PS
259,11020601301,BOOM MELLI PS
260,11020601401,UPPER GERETHANG JHS
261,11020601501,TIMBRONG JHS
262,11020601601,LAMATHANG PS
263,11020601701,NAMBU MANGTHANG PS
264,11020601801,TAMATAM JHS
265,11020601901,TING TING GOAN PS
266,11020602001,RANGIT PS
