Sl.no,School Code,School Name
137,11040400108,ST MARY SCHOOL
138,11040400602,RISING NURSERY ACADEMY (PVT)
139,11040400605,SARASWATI SISHU VIDYALA
140,11040404004,SARASWATI VIDYA NIKETAN
141,11040404005,ST JOSEPH SCHOOL
142,11040401002,BOSKO ENG SCHOOL (PVT)
143,11040400205,GOOD STAR ENG SCHOOL
144,11040401803,PEMA TSEL ACADEMY
145,11040400204,SARASWATI SISHU MANDIR
146,11040402202,LITTLE STARS ACADEMY
147,11040400209,RIVERINE ELEMENTRY SCHOOL
148,11040400203,SUNRISE MODEL
149,11040400208,VIDYA BHARATI SCHOOL
150,11040506802,BAHAI SCHOOL (PVT)
151,11040500803,BLOOMING BUDS ACADEMY
152,11040501303,EVERSHINE ACADEMY
153,11040500104,DONALD MEMORIAL ACADEMY (PVT
154,11040500302,SEVENTH-DAY ADVANTIST MISSION SCHOOL
155,11010200303,MOON LIGHT SCHOOL
156,11010200304,MT. EVEREST SCHOOL
157,11010300202,GREENVALE ACADEMY
158,11010300203,KANCHANJUNGA ACADEMY
159,11010301001,NORTHWAY ACADEMY
160,11010302501,JUBILANT PVT SCHOOL
161,11010102008,IDEAL NURSURY SCHOOL
162,11010102011,LITTLE FLOWER NURSERY (PRY)
163,11010102009,MANGAN PUBLIC SCHOOL
164,11010102102,NORTH SIKKIM ACADEMY
165,11010102007,PLAY AND LEARN NURSERY SCHOOL
166,11010102006,ST. JOSEPH
167,11010102702,KID FOUNDATION ENGLISH SCHOOL
168,11010102503,MARIGOLD PRIVATE SCHOOL
169,11010100105,ST. JOSEPH'S
170,11010102104,LITTLE FLOWER NURSERY SCHOOL
171,11010100301,ZENITH PUBLIC SCHOOL
172,11010404002,REPBOM ENGLISH ACADEMY
173,11010403303,MOUNT PANDIM PRESTINE ACADEMY
174,11010402601,CHILDREN'S WORLD ACADEMY
175,11010401702,MAYAL LYANG ACADEMY
176,11030400802,HIMALAYAN GRACE ACADEMY
177,11030401602,LITTLE ANGELS' ACADEMY
178,11030401502,MT. OLIVE ACADEMY
179,11030401501,NABIL`S MEMORIAL SECONDARY SCHOOL
180,11030401601,NEW BUDS ACADEMY
181,11030400403,PRASHANTI VIDYA GIRI
182,11030401103,ROYAL ACADEMY
183,11030400402,ST. FRANCIS` SCHOOL
184,11030401104,VICTORY ACADEMY
185,11030401101,BAPTIST ENGLISH SCHOOL
186,11030401105,EVERSHINE ACADEMY
